1|174.549.573-82|9588|20210408104106|1,50
1|174.549.573-82|1890|20210408104106|16,15
2|451.982.491-57|2339|20210401174204|0,89
3|499.536.943-03|5422|20211008202039|14,31
4|315.544.854-79|6651|20210913081241|2,95
5|222.665.474-70|7145|20210309172853|19,37
5|222.665.474-70|2324|20210309172853|2,18
6|519.362.362-06|2791|20210702232936|11,78
7|767.393.712-37|6592|20210902155739|0,60
7|767.393.712-37|9606|20210902155739|4,99
7|767.393.712-37|9590|20210902155739|14,15
8|257.855.191-00|8863|20210523224324|5,96
8|257.855.191-00|8462|20210523224324|52,75
8|257.855.191-00|5311|20210523224324|23,76
9|173.865.821-02|9564|20210102153011|298,79
10|493.128.364-04|3585|20210723174024|14,05
10|493.128.364-04|9705|20210723174024|8,77
10|493.128.364-04|9284|20210723174024|47,39
11|795.568.774-44|2342|20210104204339|6,80
12|298.325.476-36|9737|20210719123133|6,49
12|298.325.476-36|5720|20210719123133|7,41
13|988.222.228-57|2098|20210722211926|4,95
13|988.222.228-57|2499|20210722211926|2,05
14|653.649.244-75|4774|20210811235121|18,88
15|812.568.285-64|3656|20211009215751|6,99
16|996.879.619-02|9408|20210208082627|12,90
16|996.879.619-02|7404|20210208082627|10,19
17|225.644.816-98|4050|20211023173459|22,76
17|225.644.816-98|660|20211023173459|4,99
18|918.398.733-96|9436|20210616090533|4,99
19|755.513.691-02|1772|20211008183012|11,55
19|755.513.691-02|6202|20211008183012|5,71
20|928.782.611-00|7090|20210617211642|10,47
20|928.782.611-00|6223|20210617211642|2,85
21|549.932.328-37|856|20210622074702|12,77
21|549.932.328-37|8009|20210622074702|11,60
21|549.932.328-37|380|20210622074702|9,73
21|549.932.328-37|5030|20210622074702|1,72
21|549.932.328-37|3692|20210622074702|3,74
22|646.855.624-45|3613|20210427172837|9,11
23|535.485.353-21|4607|20211114101844|10,84
24|742.656.114-35|9025|20210718175047|5,99
25|239.742.417-79|733|20210214180601|8,85
25|239.742.417-79|4654|20210214180601|18,85
25|239.742.417-79|3790|20210214180601|5,49
25|239.742.417-79|3944|20210214180601|10,85
26|767.251.583-74|1294|20210503090119|1,49
26|767.251.583-74|3867|20210503090119|6,91
27|957.757.782-27|6364|20211219220644|6,99
27|957.757.782-27|243|20211219220644|6,99
27|957.757.782-27|5106|20211219220644|3,17
27|957.757.782-27|4642|20211219220644|34,81
27|957.757.782-27|1700|20211219220644|24,55
28|615.122.828-63|9862|20210904152241|22,17
28|615.122.828-63|7581|20210904152241|11,59
29|185.331.234-77|948|20211019172113|21,43
30|194.934.794-04|1392|20210113104044|1,35
30|194.934.794-04|7547|20210113104044|5,84
30|194.934.794-04|4929|20210113104044|14,82
30|194.934.794-04|6301|20210113104044|1,22
30|194.934.794-04|9914|20210113104044|5,50
30|194.934.794-04|8908|20210113104044|6,86
30|194.934.794-04|1510|20210113104044|2,49
30|194.934.794-04|6939|20210113104044|26,86
30|194.934.794-04|6612|20210113104044|5,86
31|375.466.458-16|4602|20210618234526|28,63
32|818.334.444-50|4552|20210611195814|19,18
